"female" "ses" "schtyp" "prog" "awards" "cid"
"1" 1 1 1 3 0 "1"
"2" 0 2 1 1 0 "1"
"3" 0 3 1 3 0 "1"
"4" 0 1 1 3 0 "1"
"5" 0 2 1 3 0 "1"
"6" 1 3 1 1 0 "1"
"7" 0 2 1 3 0 "1"
"8" 0 2 1 3 0 "1"
"9" 1 2 1 3 0 "1"
"10" 0 2 1 3 0 "1"
"11" 1 1 1 3 0 "1"
"12" 0 3 1 2 0 "2"
"13" 0 1 1 3 0 "2"
"14" 1 2 1 3 0 "2"
"15" 1 1 1 3 0 "2"
"16" 0 1 1 1 0 "2"
"17" 1 1 1 1 0 "2"
"18" 1 2 1 3 0 "2"
"19" 0 2 1 2 0 "2"
"20" 0 3 1 3 0 "2"
"21" 1 2 1 1 0 "2"
"22" 0 2 1 3 0 "3"
"23" 1 1 1 3 0 "3"
"24" 1 1 1 3 0 "3"
"25" 1 1 1 2 0 "3"
"26" 0 3 2 2 0 "3"
"27" 1 1 1 1 0 "3"
"28" 0 2 1 1 0 "3"
"29" 1 1 1 2 0 "3"
"30" 1 1 1 2 1 "3"
"31" 1 2 1 1 0 "4"
"32" 0 1 1 3 0 "4"
"33" 0 1 1 2 0 "4"
"34" 1 1 1 2 0 "4"
"35" 0 2 1 3 0 "4"
"36" 0 2 1 3 0 "4"
"37" 0 2 1 3 0 "4"
"38" 1 3 1 2 2 "4"
"39" 0 1 1 1 0 "4"
"40" 0 2 2 2 0 "4"
"41" 0 2 1 1 0 "4"
"42" 0 3 2 2 0 "5"
"43" 1 1 1 2 2 "5"
"44" 0 3 1 3 0 "5"
"45" 1 1 1 2 0 "5"
"46" 1 1 1 3 1 "5"
"47" 1 2 1 3 0 "5"
"48" 1 1 1 1 1 "5"
"49" 1 2 1 3 0 "5"
"50" 1 2 2 2 0 "5"
"51" 1 2 1 2 0 "5"
"52" 0 2 1 3 0 "5"
"53" 1 1 1 1 0 "6"
"54" 0 1 1 2 2 "6"
"55" 1 2 2 2 1 "6"
"56" 0 1 1 1 0 "6"
"57" 0 3 1 2 0 "6"
"58" 1 3 2 1 2 "6"
"59" 1 1 1 3 3 "6"
"60" 0 3 1 1 0 "6"
"61" 1 2 1 3 1 "6"
"62" 0 2 1 2 0 "7"
"63" 1 3 2 2 1 "7"
"64" 1 2 1 3 2 "7"
"65" 0 2 1 3 0 "7"
"66" 1 2 1 3 0 "7"
"67" 1 1 1 1 2 "7"
"68" 1 2 2 2 0 "7"
"69" 1 2 1 2 1 "7"
"70" 1 2 1 1 1 "7"
"71" 1 3 1 2 1 "8"
"72" 1 2 1 2 2 "8"
"73" 0 3 1 2 0 "8"
"74" 0 1 1 1 1 "8"
"75" 1 2 1 3 2 "8"
"76" 1 1 2 1 1 "8"
"77" 1 2 1 3 1 "8"
"78" 1 2 1 1 1 "8"
"79" 0 2 1 1 0 "8"
"80" 0 2 2 2 0 "8"
"81" 0 1 1 3 0 "8"
"82" 1 2 1 2 1 "9"
"83" 0 3 1 2 1 "9"
"84" 0 1 1 1 0 "9"
"85" 1 3 1 3 0 "9"
"86" 1 1 1 2 0 "9"
"87" 1 2 1 1 1 "9"
"88" 0 2 1 1 0 "9"
"89" 0 2 1 1 2 "9"
"90" 0 2 1 3 0 "9"
"91" 1 3 1 3 1 "10"
"92" 1 3 1 1 1 "10"
"93" 0 3 1 3 0 "10"
"94" 1 2 1 2 1 "10"
"95" 1 2 1 3 3 "10"
"96" 1 2 2 1 2 "10"
"97" 0 2 1 2 1 "10"
"98" 1 2 2 3 1 "10"
"99" 0 2 1 3 0 "10"
"100" 1 2 2 1 0 "10"
"101" 0 2 1 2 1 "11"
"102" 1 2 1 3 1 "11"
"103" 1 2 1 3 2 "11"
"104" 0 2 1 3 0 "11"
"105" 0 2 1 1 0 "11"
"106" 1 1 1 2 2 "11"
"107" 1 1 2 1 1 "11"
"108" 1 2 1 1 1 "11"
"109" 1 2 1 2 2 "11"
"110" 0 2 1 2 2 "11"
"111" 1 1 1 2 3 "11"
"112" 0 2 1 2 1 "11"
"113" 1 2 1 2 1 "12"
"114" 0 2 1 2 1 "12"
"115" 1 2 2 2 2 "12"
"116" 0 2 2 3 2 "12"
"117" 0 3 1 2 3 "12"
"118" 1 3 1 2 1 "12"
"119" 1 2 1 2 2 "12"
"120" 1 2 1 2 3 "12"
"121" 1 1 1 3 2 "12"
"122" 1 2 1 2 2 "12"
"123" 1 2 2 2 5 "13"
"124" 1 3 2 2 3 "13"
"125" 0 2 2 2 2 "13"
"126" 0 3 2 2 2 "13"
"127" 1 2 1 2 2 "13"
"128" 1 2 1 2 2 "13"
"129" 1 2 1 2 5 "13"
"130" 1 3 1 2 2 "13"
"131" 0 2 2 2 2 "13"
"132" 0 3 1 2 0 "14"
"133" 0 1 1 1 0 "14"
"134" 1 3 1 2 2 "14"
"135" 0 2 1 2 3 "14"
"136" 1 3 1 1 2 "14"
"137" 0 2 1 2 1 "14"
"138" 0 3 1 2 4 "14"
"139" 0 1 1 2 0 "14"
"140" 0 3 1 2 1 "14"
"141" 0 3 1 2 1 "14"
"142" 1 1 1 2 2 "15"
"143" 0 2 2 1 2 "15"
"144" 0 2 1 1 2 "15"
"145" 0 2 1 2 3 "15"
"146" 1 2 1 1 3 "15"
"147" 1 2 1 1 3 "15"
"148" 1 1 1 1 5 "15"
"149" 0 2 2 2 2 "15"
"150" 0 3 1 2 2 "15"
"151" 0 2 2 2 2 "15"
"152" 1 3 2 2 3 "16"
"153" 0 2 1 2 5 "16"
"154" 1 2 1 3 3 "16"
"155" 1 1 1 1 3 "16"
"156" 1 2 2 2 3 "16"
"157" 1 3 1 2 1 "16"
"158" 1 3 1 2 3 "16"
"159" 0 1 1 2 5 "16"
"160" 0 3 1 2 3 "16"
"161" 1 3 1 1 7 "16"
"162" 0 3 1 1 5 "16"
"163" 1 1 1 2 2 "17"
"164" 1 3 1 2 2 "17"
"165" 1 2 1 2 2 "17"
"166" 1 2 1 3 2 "17"
"167" 0 3 1 1 5 "17"
"168" 0 3 1 2 3 "17"
"169" 1 3 1 2 5 "17"
"170" 0 3 1 1 2 "18"
"171" 0 1 1 1 2 "18"
"172" 1 3 2 2 3 "18"
"173" 1 1 1 2 5 "18"
"174" 1 3 1 3 7 "18"
"175" 0 3 1 2 5 "18"
"176" 1 1 1 2 5 "18"
"177" 1 2 1 2 7 "18"
"178" 1 1 1 2 5 "18"
"179" 1 1 1 2 3 "18"
"180" 0 3 1 2 1 "19"
"181" 1 3 2 2 4 "19"
"182" 0 2 1 2 2 "19"
"183" 0 3 1 2 5 "19"
"184" 0 2 1 1 2 "19"
"185" 1 3 1 2 7 "19"
"186" 1 3 1 2 7 "19"
"187" 1 3 1 2 2 "19"
"188" 0 3 2 2 7 "19"
"189" 0 3 1 2 3 "19"
"190" 0 2 2 2 1 "19"
"191" 1 3 2 2 5 "20"
"192" 1 3 1 2 3 "20"
"193" 0 2 2 2 2 "20"
"194" 0 3 1 2 2 "20"
"195" 1 3 1 2 4 "20"
"196" 1 3 1 2 5 "20"
"197" 0 2 1 3 4 "20"
"198" 0 2 1 2 7 "20"
"199" 1 2 1 2 5 "20"
"200" 0 2 1 2 3 "20"
